店舗名,電話番号,メールアドレス,都道府県,市町村区,番地,建物名,HPのURL,SSL証明書
炭火焼肉 尹家,050-5457-0828, ,東京都,豊島区東池袋 ,1-15-3,アークランド B1F, , 
清次郎,050-5589-4836, ,大阪府,大阪市北区曽根崎新地 ,1丁目10-16,永楽ビル　B1F,http://sei26.com/,False
NO.1 焼肉しゃぶしゃぶ 食べ放題 歌舞伎町店,03-6886-8513, ,東京都,新宿区歌舞伎町 ,1-8-3,, , 
焼肉赤身 にくがとう E・ZO FUKUOKA店,050-5868-4781, ,福岡県,福岡市中央区地行浜 ,2-2-6,E・ZO FUKUOKA 3F,http://www.nikugatou.com/,False
サムギョプサル専門店 金ちゃん 渋谷2号店,050-5869-1276, ,東京都,渋谷区宇田川町 ,28-15,サンマルジェビル 5F, , 
肉亭ふたご 本郷三丁目店,050-5594-7366, ,東京都,文京区本郷 ,5-24-7,プラウドタワー本郷東大前 1F,https://nikutei25.com/,True
焼肉 近江牛肉店 本店,050-5868-2643, ,東京都,港区新橋 ,4-20-3,市兼ビル1F, , 
サムギョプサル専門店 金ちゃん 渋谷本店,050-5592-5364, ,東京都,渋谷区宇田川町 ,30-5,渋谷JOWビル 9F, , 
焼肉 いのうえ 吉祥寺店,050-5868-5723, ,東京都,武蔵野市吉祥寺本町 ,1-8-10,Kichijoji ex 3F, , 
スタミナホルモン食堂 食樂 国分町店,050-5595-0844, ,宮城県,仙台市青葉区国分町 ,2-11-22,,https://horumon-shokuraku.jp/,True
焼肉匠 満炎,050-5570-2324, ,愛知県,名古屋市中村区名駅南 ,1-17-2,, , 
九州ミートK 高田馬場店,050-5597-3724, ,東京都,新宿区高田馬場 ,2-14-6,スワンビル B1F, , 
黒毛和牛A4A5 焼肉ありらん 新宿本店,050-5593-5888, ,東京都,新宿区西新宿 ,1-16-9,盛栄ビル 1F,https://ariran-yakiniku-shinjuku.com/,True
和牛とタン 焼肉 とみ 新橋本店,050-5872-6004, ,東京都,港区新橋 ,3-3-3,新橋パイオニアビル B1F, , 
卸 新宿食肉センター 極 本店,050-5595-4770, ,東京都,新宿区歌舞伎町 ,2-10-5,Ｇ１ビル 1F,http://www.post.co.jp,False
しゃぶしゃぶ 焼肉食べ放題 めり乃 秋葉原本店,050-5592-8648, ,東京都,千代田区神田佐久間町 ,2-11,JD秋葉原ビル 1F,http://merino-akihabara.com/,False
やさいや 鉄板焼野菜 赤坂店,050-3188-8284, ,東京都,港区赤坂 ,3-11-14,赤坂ベルゴ 1F,https://yasaiya.tokyo/yasaiya-akasaka/,True
焼肉 番手十番 銀座三越店,050-5597-5090, ,東京都,中央区銀座 ,4-6-16,銀座三越  12F, , 
焼肉Lab  梅田店,050-5456-0889, ,大阪府,大阪市北区曽根崎 ,2-10-21,第3河合ビル 3F, , 
焼肉居酒屋 マルウシミート 銀座本店,050-5868-2630, ,東京都,中央区銀座 ,1-5-10,銀座ファーストファイブビル   8Ｆ,https://www.maruushi.com/shop/ginza/,True
